Price,Close,High,Low,Open,Volume
Ticker,MYM=F,MYM=F,MYM=F,MYM=F,MYM=F
Date,,,,,
2021-08-17,35259.0,35517.0,35033.0,35478.0,158891
2021-08-18,34887.0,35285.0,34786.0,35211.0,131194
2021-08-19,34818.0,34934.0,34492.0,34839.0,219964
2021-08-20,35058.0,35119.0,34569.0,34844.0,129951
2021-08-23,35281.0,35375.0,35015.0,35047.0,89996
2021-08-24,35314.0,35403.0,35292.0,35328.0,65392
2021-08-25,35360.0,35445.0,35228.0,35319.0,68871
2021-08-26,35160.0,35442.0,35149.0,35406.0,103379
2021-08-27,35403.0,35426.0,35113.0,35187.0,76357
2021-08-30,35352.0,35465.0,35328.0,35413.0,70085
2021-08-31,35340.0,35483.0,35258.0,35391.0,99338
2021-09-01,35290.0,35494.0,35267.0,35387.0,93290
2021-09-02,35424.0,35460.0,35220.0,35314.0,81153
2021-09-03,35353.0,35505.0,35246.0,35427.0,97540
2021-09-07,35091.0,35476.0,35039.0,35354.0,134722
2021-09-08,35012.0,35162.0,34883.0,35067.0,134895
2021-09-09,34870.0,35193.0,34776.0,35010.0,126241
2021-09-10,34607.0,35112.0,34598.0,34870.0,59816
2021-09-13,34870.0,34935.0,34601.0,34620.0,43891
2021-09-14,34583.0,35022.0,34507.0,34904.0,36914
2021-09-15,34819.0,34885.0,34498.0,34583.0,24959
2021-09-16,34749.0,34943.0,34538.0,34840.0,15531
2021-09-17,34697.0,34838.0,34656.0,34720.0,148019
2021-09-20,33839.0,34415.0,33478.0,34388.0,305328
2021-09-21,33798.0,34236.0,33712.0,33816.0,221273
2021-09-22,34129.0,34319.0,33639.0,33755.0,195009
2021-09-23,34644.0,34748.0,34149.0,34163.0,154315
2021-09-24,34674.0,34734.0,34460.0,34647.0,120670
2021-09-27,34743.0,34934.0,34651.0,34688.0,104804
2021-09-28,34175.0,34853.0,34120.0,34745.0,220503
2021-09-29,34265.0,34451.0,34168.0,34223.0,190574
2021-09-30,33722.0,34554.0,33691.0,34350.0,223744
2021-10-01,34167.0,34356.0,33389.0,33753.0,219211
2021-10-04,33870.0,34293.0,33680.0,34225.0,245665
2021-10-05,34183.0,34364.0,33684.0,33897.0,179345
2021-10-06,34291.0,34325.0,33717.0,34224.0,278616
2021-10-07,34638.0,34853.0,34291.0,34298.0,144508
2021-10-08,34626.0,34752.0,34533.0,34648.0,159061
2021-10-11,34376.0,34829.0,34324.0,34613.0,157341
2021-10-12,34260.0,34486.0,34124.0,34363.0,186864
2021-10-13,34257.0,34347.0,33984.0,34194.0,173389
2021-10-14,34784.0,34854.0,34245.0,34245.0,132416
2021-10-15,35171.0,35199.0,34787.0,34823.0,108814
2021-10-18,35133.0,35229.0,34906.0,35204.0,120942
2021-10-19,35323.0,35364.0,35066.0,35125.0,106200
2021-10-20,35477.0,35540.0,35273.0,35352.0,94045
2021-10-21,35480.0,35537.0,35315.0,35447.0,100247
2021-10-22,35557.0,35646.0,35412.0,35466.0,131083
2021-10-25,35620.0,35669.0,35450.0,35494.0,78275
2021-10-26,35644.0,35778.0,35618.0,35655.0,105441
2021-10-27,35389.0,35714.0,35383.0,35665.0,113006
2021-10-28,35613.0,35682.0,35388.0,35428.0,108920
2021-10-29,35704.0,35750.0,35485.0,35680.0,110435
2021-11-01,35800.0,35892.0,35683.0,35761.0,97830
2021-11-02,35938.0,35971.0,35695.0,35793.0,86288
2021-11-03,36035.0,36070.0,35730.0,35922.0,94611
